date,count_rate
2015-07-13,101.531
2015-07-14,101.935
2015-07-15,102.694
2015-07-16,102.223
2015-07-17,102.474
2015-07-18,102.829
2015-07-19,102.997
2015-07-20,103.090
2015-07-21,103.172
2015-07-22,103.134
2015-07-23,103.547
2015-07-24,103.432
2015-07-25,103.594
2015-07-26,103.262
2015-07-27,103.102
2015-07-28,103.669
2015-07-29,104.329
2015-07-30,104.706
2015-07-31,104.374
2015-08-01,104.126
2015-08-02,104.137
2015-08-03,103.940
2015-08-04,104.243
2015-08-05,104.365
2015-08-06,104.469
2015-08-07,103.539
2015-08-08,103.621
2015-08-09,103.626
2015-08-10,103.689
2015-08-11,102.024
2015-08-12,101.600
2015-08-13,102.809
2015-08-14,102.848
2015-08-15,101.742
2015-08-16,101.657
2015-08-17,102.056
2015-08-18,102.745
2015-08-19,103.538
2015-08-20,103.329
2015-08-21,103.394
2015-08-22,103.375
2015-08-23,103.717
2015-08-24,104.241
2015-08-25,104.289
2015-08-26,102.562
2015-08-27,102.124
2015-08-28,102.719
2015-08-29,103.054
2015-08-30,103.693
2015-08-31,103.919
2015-09-01,104.246
2015-09-02,104.588
2015-09-03,104.664
2015-09-04,104.557
2015-09-05,104.110
2015-09-06,103.930
2015-09-07,103.019
2015-09-08,101.871
2015-09-09,101.924
2015-09-10,102.480
2015-09-11,101.862
2015-09-12,101.562
2015-09-13,101.879
2015-09-14,101.913
2015-09-15,102.528
2015-09-16,102.659
2015-09-17,102.617
2015-09-18,102.847
2015-09-19,104.171
2015-09-20,103.549
2015-09-21,104.278
2015-09-22,103.917
2015-09-23,103.490
2015-09-24,103.256
2015-09-25,103.317
2015-09-26,103.730
2015-09-27,103.897
2015-09-28,104.028
2015-09-29,103.893
2015-09-30,103.922
2015-10-01,104.191
2015-10-02,103.740
2015-10-03,103.123
2015-10-04,102.708
2015-10-05,103.164
2015-10-06,102.983
2015-10-07,102.735
2015-10-08,103.295
2015-10-09,103.400
2015-10-10,103.609
2015-10-11,103.087
2015-10-12,102.893
2015-10-13,103.031
2015-10-14,102.908
2015-10-15,102.449
2015-10-16,103.110
2015-10-17,103.500
2015-10-18,103.735
2015-10-19,103.876
2015-10-20,103.967
2015-10-21,104.281
2015-10-22,104.185
2015-10-23,104.291
2015-10-24,104.258
2015-10-25,103.340
2015-10-26,103.177
2015-10-27,103.960
2015-10-28,104.020
2015-10-29,104.244
2015-10-30,104.213
2015-10-31,103.922
2015-11-01,104.002
2015-11-02,104.244
2015-11-03,104.758
2015-11-04,103.281
2015-11-05,103.738
2015-11-06,103.651
2015-11-07,101.437
2015-11-08,102.200
2015-11-09,102.636
2015-11-10,101.849
2015-11-11,102.094
2015-11-12,102.557
2015-11-13,102.967
2015-11-14,103.169
2015-11-15,103.778
2015-11-16,103.676
2015-11-17,104.218
2015-11-18,104.698
2015-11-19,103.948
2015-11-20,104.108
2015-11-21,103.710
2015-11-22,104.486
2015-11-23,104.779
2015-11-24,105.317
2015-11-25,105.764
2015-11-26,105.439
2015-11-27,105.009
2015-11-28,105.115
2015-11-29,105.722
2015-11-30,106.092
2015-12-01,106.324
2015-12-02,105.542
2015-12-03,105.018
2015-12-04,104.269
2015-12-05,103.747
2015-12-06,103.533
2015-12-07,103.350
2015-12-08,103.471
2015-12-09,103.672
2015-12-10,104.010
2015-12-11,103.504
2015-12-12,104.024
2015-12-13,104.358
2015-12-14,105.124
2015-12-15,104.172
2015-12-16,104.267
2015-12-17,104.210
2015-12-18,104.250
2015-12-19,104.588
2015-12-20,102.835
2015-12-21,103.455
2015-12-22,104.512
2015-12-23,105.197
2015-12-24,105.328
2015-12-25,105.424
2015-12-26,106.144
2015-12-27,105.758
2015-12-28,106.150
2015-12-29,106.334
2015-12-30,106.279
2015-12-31,103.565
2016-01-01,103.902
2016-01-02,104.848
2016-01-03,105.063
2016-01-04,105.351
2016-01-05,105.818
2016-01-06,106.487
2016-01-07,106.740
2016-01-08,106.575
2016-01-09,106.645
2016-01-10,106.599
2016-01-11,106.130
2016-01-12,105.933
2016-01-13,105.957
2016-01-14,105.977
2016-01-15,106.375
2016-01-16,106.596
2016-01-17,106.162
2016-01-18,105.938
2016-01-19,105.348
2016-01-20,105.364
2016-01-21,105.492
2016-01-22,105.467
2016-01-23,105.956
2016-01-24,107.032
2016-01-25,108.019
2016-01-26,108.076
2016-01-27,107.190
2016-01-28,106.965
2016-01-29,107.214
2016-01-30,107.631
2016-01-31,107.644
2016-02-01,107.367
2016-02-02,108.128
2016-02-03,108.419
2016-02-04,107.043
2016-02-05,106.321
2016-02-06,106.506
2016-02-07,106.635
2016-02-08,107.215
2016-02-09,107.259
2016-02-10,107.169
2016-02-11,107.899
2016-02-12,107.449
2016-02-13,106.785
2016-02-14,106.988
2016-02-15,106.315
2016-02-16,106.809
2016-02-17,106.804
2016-02-18,106.587
2016-02-19,106.529
2016-02-20,107.014
2016-02-21,107.265
2016-02-22,107.664
2016-02-23,107.967
2016-02-24,108.454
2016-02-25,108.329
2016-02-26,107.762
2016-02-27,106.894
2016-02-28,106.379
2016-02-29,106.176
2016-03-01,106.758
2016-03-02,107.894
2016-03-03,108.056
2016-03-04,108.207
2016-03-05,108.297
2016-03-06,107.730
2016-03-07,106.515
2016-03-08,106.505
2016-03-09,107.021
2016-03-10,107.708
2016-03-11,107.672
2016-03-12,107.244
2016-03-13,107.142
2016-03-14,106.531
2016-03-15,106.031
2016-03-16,106.113
2016-03-17,106.027
2016-03-18,107.084
2016-03-19,107.085
2016-03-20,107.329
2016-03-21,107.703
2016-03-22,107.487
2016-03-23,107.010
2016-03-24,106.292
2016-03-25,105.742
2016-03-26,105.615
2016-03-27,105.735
2016-03-28,106.859
2016-03-29,106.755
2016-03-30,107.057
2016-03-31,107.573
2016-04-01,108.335
2016-04-02,108.501
2016-04-03,108.151
2016-04-04,108.124
2016-04-05,108.079
2016-04-06,108.254
2016-04-07,107.888
2016-04-08,107.722
2016-04-09,108.017
2016-04-10,108.099
2016-04-11,106.931
2016-04-12,107.330
2016-04-13,107.242
2016-04-14,105.971
2016-04-15,105.474
2016-04-16,105.867
2016-04-17,106.399
2016-04-18,107.197
2016-04-19,107.125
2016-04-20,106.826
2016-04-21,106.292
